"TAXOCODE","X3A_CODE","Scientific_name","AphiaID","Match.type","ScientificName","AphiaID_accepted","Kingdom","Phylum","Class","Order","Family","Genus","Subgenus","Species","Subspecies","WoRMSname","English_name","ISSCAAP","CatchGroup","ByCatchGroup"
"3071800105","OVV","Oliva oliva","208396","exact","Oliva oliva","208396","Animalia","Mollusca","Gastropoda","Neogastropoda","Olividae","Oliva","","oliva",,"Oliva oliva","Common olive","52","molluscs",
"3163400101","EQO","Estellacar olivacea","504639","exact","Estellacar olivacea","504639","Animalia","Mollusca","Bivalvia","Arcoida","Noetiidae","Estellacar","","olivacea",,"Estellacar olivacea","Olive ark","56","molluscs",
"2311114002","YLW","Scylla olivacea","442831","exact","Scylla olivacea","442831","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Scylla","","olivacea",,"Scylla olivacea","Orange mud crab","42","crustaceans",
"5310700102","LKV","Lepidochelys olivacea","220293","exact","Lepidochelys olivacea","220293","Animalia","Chordata","Reptilia","Testudines","Cheloniidae","Lepidochelys","","olivacea",,"Lepidochelys olivacea","Olive ridley turtle","72","incidental by-catch","reptiles"
"1701801202","PVU","Pseudochromis olivaceus","218332","exact","Pseudochromis olivaceus","218332","Animalia","Chordata","Actinopterygii","Perciformes","Pseudochromidae","Pseudochromis","","olivaceus",,"Pseudochromis olivaceus","Olive dottyback","33","demersal",
"1703620907","PKV","Pomadasys olivaceus","218565","exact","Pomadasys olivaceus","218565","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Pomadasys","","olivaceus",,"Pomadasys olivaceus","Olive grunt","33","demersal",
"1830804601","BAH","Paralichthys olivaceus","275816","exact","Paralichthys olivaceus","275816","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","","olivaceus",,"Paralichthys olivaceus","Bastard halibut","31","flatfish",
"1703817218","LHO","Lethrinus olivaceus","212069","exact","Lethrinus olivaceus","212069","Animalia","Chordata","Actinopterygii","Perciformes","Lethrinidae","Lethrinus","","olivaceus",,"Lethrinus olivaceus","Longface emperor","33","demersal",
"1740200408","AQV","Acanthurus olivaceus","219625","exact","Acanthurus olivaceus","219625","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus","","olivaceus",,"Acanthurus olivaceus","Orangespot surgeonfish","33","demersal",
"1411006001","IPO","Pylodictis olivaris","594798","exact","Pylodictis olivaris","594798","Animalia","Chordata","Actinopterygii","Siluriformes","Ictaluridae","Pylodictis","","olivaris",,"Pylodictis olivaris","Flathead catfish","13","other",
"3210900522","OQV","Octopus oliveri","342011","exact","Octopus oliveri","342011","Animalia","Mollusca","Cephalopoda","Octopoda","Octopodidae","Octopus","","oliveri",,"Octopus oliveri","","57","molluscs",
